ORF,Gene,Plate,Row,Column,wellId
YOL090W,MSH2,1,14,12,r14c12
YJR035W,RAD26,1,14,13,r14c13
,Rpn11,1,14,14,r14c14
YBR150C,TBS1,1,14,15,r14c15
YLR442C,SIR3,1,14,16,r14c16
YKL092C,BUD2,1,14,17,r14c17
YHR073W,OSH3,1,14,18,r14c18
YGL094C,PAN2,1,14,19,r14c19
YKL173W,SNU114,1,14,20,r14c20
YGR134W,CAF130,1,14,21,r14c21
,No GFP,1,14,22,r14c22
YPR022C,0,1,14,23,r14c23
YLR187W,SKG3,1,14,24,r14c24
YCR081W,SRB8,1,15,1,r15c01
YOR207C,RET1,1,15,2,r15c02
YJR137C,ECM17,1,15,3,r15c03
YJR041C,URB2,1,15,4,r15c04
YJL095W,BCK1,1,15,5,r15c05
YOR086C,TCB1,1,15,6,r15c06
YKL101W,HSL1,1,15,7,r15c07
YML091C,RPM2,1,15,8,r15c08
YOR326W,MYO2,1,15,9,r15c09
YDR335W,MSN5,1,15,10,r15c10
YNL297C,MON2,1,15,11,r15c11
YFR016C,0,1,15,12,r15c12
YKR031C,SPO14,1,15,13,r15c13
YML081W,TDA9,1,15,14,r15c14
YJL109C,UTP10,1,15,15,r15c15
YPL137C,GIP3,1,15,16,r15c16
YHR023W,MYO1,1,15,17,r15c17
YDR159W,SAC3,1,15,18,r15c18
YDL171C,GLT1,1,15,19,r15c19
,Msn2,1,15,20,r15c20
YFR019W,FAB1,1,15,21,r15c21
YIL126W,STH1,1,15,22,r15c22
YLR106C,MDN1,1,15,23,r15c23
YJL042W,MHP1,1,15,24,r15c24
YOL098C,0,1,16,1,r16c01
YDL220C,CDC13,1,16,2,r16c02
YLR249W,YEF3,1,16,3,r16c03
YPR104C,FHL1,1,16,4,r16c04
YNL132W,KRE33,1,16,5,r16c05
YJL154C,VPS35,1,16,6,r16c06
YGR274C,TAF1,1,16,7,r16c07
YMR019W,STB4,1,16,8,r16c08
YJL050W,MTR4,1,16,9,r16c09
YOR335C,ALA1,1,16,10,r16c10
YOL100W,PKH2,1,16,11,r16c11
YIL130W,ASG1,1,16,12,r16c12
YMR196W,0,1,16,13,r16c13
YMR080C,NAM7,1,16,14,r16c14
YCL061C,MRC1,1,16,15,r16c15
YKL015W,PUT3,1,16,16,r16c16
YGR094W,VAS1,1,16,17,r16c17
YNL123W,NMA111,1,16,18,r16c18
,Hole,1,16,19,r16c19
YDR379W,RGA2,1,16,20,r16c20
YHR077C,NMD2,1,16,21,r16c21
YDL240W,LRG1,1,16,22,r16c22
YML117W,NAB6,1,16,23,r16c23
YHR082C,KSP1,1,16,24,r16c24
